      filenum                                                     :    
            total result                                          :    
                  tt_{ll}^{ll}                                    :    [ 0, 0 ]
                  no cut MC event                                 :    [ 881, 881 ]
                  no cut                                          :    [ 831.905, 881 ]
                  N^{j} \in [ 2.9 ,7 ]                            :    [ 782.803, 829 ]
                  P_{T}^{j1} \in [ 20 ,500 ]                      :    [ 779.026, 825 ]
                  \eta^{j1} \in [ -2.5 ,2.5 ]                     :    [ 742.199, 786 ]
                  P_{T}^{j2} \in [ 10 ,100 ]                      :    [ 576.951, 611 ]
                  \eta^{j2} \in [ -2.5 ,2.5 ]                     :    [ 537.291, 569 ]
                  N^{\tau} \in [ 1.9 ,100 ]                       :    [ 537.291, 569 ]
                  P_{T}^{\tau1} \in [ 20 ,1000 ]                  :    [ 537.291, 569 ]
                  \eta^{\tau1} \in [ -2.5 ,2.5 ]                  :    [ 536.347, 568 ]
                  P_{T}^{\tau2} \in [ 20 ,1000 ]                  :    [ 536.347, 568 ]
                  \eta^{\tau2} \in [ 0 ,1 ]                       :    [ 161.47, 171 ]
                  N^{lep} \in [ 0.9 ,100 ]                        :    [ 161.47, 171 ]
                  P_{T}^{l1} \in [ 20 ,60 ]                       :    [ 81.207, 86 ]
                  \eta^{l1} \in [ -2.5 ,2.5 ]                     :    [ 81.207, 86 ]
                  MET \in [ 20 ,100 ]                             :    [ 55.7118, 59 ]
                  M^{h^{0}} \in [ 40 ,100 ]                       :    [ 18.8854, 20 ]
                  M^{H^{\pm}} \in [ 80 ,300 ]                     :    [ 16.9968, 18 ]
                  M^{t} \in [ 0 ,250 ]                            :    [ 7.55414, 8 ]
                  BDTG \in [ 0.4 ,1 ]                             :    [ 0.944268, 1 ]
                  all~cut                                         :    [ 0.944268, 1 ]
