      filenum                                                     :    
            total result                                          :    
                  ttll_{ta}^{l}                                   :    [ 0, 0 ]
                  no cut MC event                                 :    [ 3567, 3567 ]
                  no cut                                          :    [ 14.8495, 3567 ]
                  N^{j} \in [ 2.9 ,7 ]                            :    [ 14.2751, 3429 ]
                  P_{T}^{j1} \in [ 20 ,500 ]                      :    [ 14.1502, 3399 ]
                  \eta^{j1} \in [ -2.5 ,2.5 ]                     :    [ 13.8172, 3319 ]
                  P_{T}^{j2} \in [ 10 ,100 ]                      :    [ 10.2163, 2454 ]
                  \eta^{j2} \in [ -2.5 ,2.5 ]                     :    [ 9.90413, 2379 ]
                  N^{\tau} \in [ 1.9 ,100 ]                       :    [ 9.90413, 2379 ]
                  P_{T}^{\tau1} \in [ 20 ,1000 ]                  :    [ 9.90413, 2379 ]
                  \eta^{\tau1} \in [ -2.5 ,2.5 ]                  :    [ 9.90413, 2379 ]
                  P_{T}^{\tau2} \in [ 20 ,1000 ]                  :    [ 9.90413, 2379 ]
                  \eta^{\tau2} \in [ 0 ,1 ]                       :    [ 2.88509, 693 ]
                  N^{lep} \in [ 0.9 ,100 ]                        :    [ 2.88509, 693 ]
                  P_{T}^{l1} \in [ 20 ,60 ]                       :    [ 1.70689, 410 ]
                  \eta^{l1} \in [ -2.5 ,2.5 ]                     :    [ 1.70689, 410 ]
                  MET \in [ 20 ,100 ]                             :    [ 1.31556, 316 ]
                  M^{h^{0}} \in [ 40 ,100 ]                       :    [ 1.05328, 253 ]
                  M^{H^{\pm}} \in [ 80 ,300 ]                     :    [ 0.915895, 220 ]
                  M^{t} \in [ 0 ,250 ]                            :    [ 0.495417, 119 ]
                  BDTG \in [ 0.4 ,1 ]                             :    [ 0.149874, 36 ]
                  all~cut                                         :    [ 0.149874, 36 ]
