      filenum                                                     :    
            total result                                          :    
                  tt_{tauquark}^{lj}                              :    [ 0, 0 ]
                  no cut MC event                                 :    [ 93, 93 ]
                  no cut                                          :    [ 959.158, 93 ]
                  N^{j} \in [ 2.9 ,7 ]                            :    [ 876.649, 85 ]
                  P_{T}^{j1} \in [ 20 ,500 ]                      :    [ 876.649, 85 ]
                  \eta^{j1} \in [ -2.5 ,2.5 ]                     :    [ 845.709, 82 ]
                  P_{T}^{j2} \in [ 10 ,100 ]                      :    [ 618.811, 60 ]
                  \eta^{j2} \in [ -2.5 ,2.5 ]                     :    [ 618.811, 60 ]
                  N^{\tau} \in [ 1.9 ,100 ]                       :    [ 618.811, 60 ]
                  P_{T}^{\tau1} \in [ 20 ,1000 ]                  :    [ 618.811, 60 ]
                  \eta^{\tau1} \in [ -2.5 ,2.5 ]                  :    [ 618.811, 60 ]
                  P_{T}^{\tau2} \in [ 20 ,1000 ]                  :    [ 618.811, 60 ]
                  \eta^{\tau2} \in [ -2.5 ,2.5 ]                  :    [ 608.497, 59 ]
                  N^{lep} \in [ 0.9 ,100 ]                        :    [ 608.497, 59 ]
                  P_{T}^{l1} \in [ 20 ,60 ]                       :    [ 257.838, 25 ]
                  \eta^{l1} \in [ -2.5 ,2.5 ]                     :    [ 257.838, 25 ]
                  MET \in [ 20 ,100 ]                             :    [ 226.897, 22 ]
                  M^{h^{0}} \in [ 40 ,100 ]                       :    [ 82.5081, 8 ]
                  M^{H^{\pm}} \in [ 80 ,300 ]                     :    [ 51.5676, 5 ]
                  M^{t} \in [ 0 ,250 ]                            :    [ 30.9405, 3 ]
                  BDTG \in [ 0.4 ,1 ]                             :    [ 10.3135, 1 ]
                  all~cut                                         :    [ 10.3135, 1 ]
