      filenum                                                     :    
            total result                                          :    
                  tt_{tautau}^{tautau}                            :    [ 0, 0 ]
                  no cut MC event                                 :    [ 4045, 4045 ]
                  no cut                                          :    [ 1034.7, 4045 ]
                  N^{j} \in [ 2.9 ,7 ]                            :    [ 1002.22, 3918 ]
                  P_{T}^{j1} \in [ 20 ,500 ]                      :    [ 1000.94, 3913 ]
                  \eta^{j1} \in [ -2.5 ,2.5 ]                     :    [ 954.895, 3733 ]
                  P_{T}^{j2} \in [ 10 ,100 ]                      :    [ 813.183, 3179 ]
                  \eta^{j2} \in [ -2.5 ,2.5 ]                     :    [ 771.488, 3016 ]
                  N^{\tau} \in [ 1.9 ,100 ]                       :    [ 771.488, 3016 ]
                  P_{T}^{\tau1} \in [ 20 ,1000 ]                  :    [ 771.488, 3016 ]
                  \eta^{\tau1} \in [ -2.5 ,2.5 ]                  :    [ 770.976, 3014 ]
                  P_{T}^{\tau2} \in [ 20 ,1000 ]                  :    [ 770.976, 3014 ]
                  \eta^{\tau2} \in [ -2.5 ,2.5 ]                  :    [ 767.139, 2999 ]
                  N^{lep} \in [ 0.9 ,100 ]                        :    [ 767.139, 2999 ]
                  P_{T}^{l1} \in [ 20 ,60 ]                       :    [ 399.045, 1560 ]
                  \eta^{l1} \in [ -2.5 ,2.5 ]                     :    [ 399.045, 1560 ]
                  MET \in [ 20 ,100 ]                             :    [ 282.145, 1103 ]
                  M^{h^{0}} \in [ 40 ,100 ]                       :    [ 159.362, 623 ]
                  M^{H^{\pm}} \in [ 80 ,300 ]                     :    [ 135.317, 529 ]
                  M^{t} \in [ 0 ,250 ]                            :    [ 92.5988, 362 ]
                  BDTG \in [ 0.4 ,1 ]                             :    [ 15.8594, 62 ]
                  all~cut                                         :    [ 15.8594, 62 ]
